,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,position_simple,player_id
59,Southampton FC,David Speedie,32.0,Centre-Forward,Blackburn,£540Th.,in,Summer,0.54,Premier League,1992,1992/1993,attacker,42.0
63,Blackburn Rovers,Alan Shearer,21.0,Centre-Forward,Southampton,£4.05m,in,Summer,4.05,Premier League,1992,1992/1993,attacker,10954.0
64,Blackburn Rovers,Stuart Ripley,24.0,Midfielder,Middlesbrough,£1.80m,in,Summer,1.8,Premier League,1992,1992/1993,midfielder,10955.0
65,Blackburn Rovers,Tim Sherwood,23.0,Central Midfield,Norwich,£675Th.,in,Summer,0.675,Premier League,1992,1992/1993,midfielder,10956.0
66,Blackburn Rovers,Patrik Andersson,20.0,Centre-Back,Malmö FF,£450Th.,in,Summer,0.45,Premier League,1992,1992/1993,defender,10957.0
67,Blackburn Rovers,Lee Makel,19.0,Attacking Midfield,Newcastle,£216Th.,in,Summer,0.21600000000000003,Premier League,1992,1992/1993,midfielder,10958.0
68,Blackburn Rovers,Wayne Burnett,20.0,Midfielder,Leyton Orient,£86Th.,in,Summer,0.086,Premier League,1992,1992/1993,midfielder,10959.0
69,Blackburn Rovers,Duncan Shearer,29.0,Centre-Forward,Aberdeen FC,£675Th.,out,Summer,0.675,Premier League,1992,1992/1993,attacker,49.0
71,Blackburn Rovers,Simon Garner,32.0,Centre-Forward,West Brom,£32Th.,out,Summer,0.032,Premier League,1992,1992/1993,attacker,50.0
72,Tottenham Hotspur,Teddy Sheringham,26.0,Centre-Forward,Nottm Forest,£2.84m,in,Summer,2.84,Premier League,1992,1992/1993,attacker,10960.0
73,Tottenham Hotspur,Darren Anderton,20.0,Right Midfield,Portsmouth,£2.43m,in,Summer,2.43,Premier League,1992,1992/1993,midfielder,52.0
74,Tottenham Hotspur,Neil Ruddock,24.0,Centre-Back,Southampton,£765Th.,in,Summer,0.765,Premier League,1992,1992/1993,defender,10961.0
77,Tottenham Hotspur,Paul Walsh,29.0,Centre-Forward,Portsmouth,£405Th.,out,Summer,0.405,Premier League,1992,1992/1993,attacker,10962.0
78,Liverpool FC,Paul Stewart,27.0,Defensive Midfield,Spurs,£2.48m,in,Summer,2.48,Premier League,1992,1992/1993,midfielder,55.0
79,Liverpool FC,David James,21.0,Goalkeeper,Watford,£1.26m,in,Summer,1.26,Premier League,1992,1992/1993,goalkeeper,10963.0
82,Liverpool FC,Barry Venison,27.0,Left-Back,Newcastle,£266Th.,out,Summer,0.266,Premier League,1992,1992/1993,defender,10964.0
83,Everton FC,Preki,29.0,Attacking Midfield,Storm,£108Th.,in,Summer,0.10800000000000001,Premier League,1992,1992/1993,midfielder,58.0
84,Everton FC,Pat Nevin,28.0,Right Winger,Tranmere Rovers,£405Th.,out,Summer,0.405,Premier League,1992,1992/1993,attacker,59.0
85,Middlesbrough FC,Derek Whyte,24.0,Centre-Back,Rangers,£1.13m,in,Winter,1.13,Premier League,1992,1992/1993,defender,60.0
86,Middlesbrough FC,Craig Hignett,22.0,Right Winger,Crewe Alexandra,£675Th.,in,Winter,0.675,Premier League,1992,1992/1993,attacker,61.0
87,Middlesbrough FC,Richard Liburd,19.0,Defender,Eastwood Town,£21Th.,in,Winter,0.021,Premier League,1992,1992/1993,defender,62.0
89,Oldham Athletic,Darren Beckford,25.0,Centre-Forward,Norwich,£297Th.,in,Winter,0.297,Premier League,1992,1992/1993,attacker,63.0
