,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,position_simple,player_id
2603,Valencia CF,Dennis Serban,22.0,Central Midfield,Steaua Bukarest,£1.80m,in,Winter,1.8,Primera Division,1998,1998/1999,midfielder,1373.0
2604,Valencia CF,Sabin Ilie,23.0,Centre-Forward,UE Lleida,£18Th.,out,Winter,0.018000000000000002,Primera Division,1998,1998/1999,attacker,11655.0
2605,Villarreal CF,Wálter Gaitán,21.0,Attacking Midfield,CA Rosario,£4.05m,in,Winter,4.05,Primera Division,1998,1998/1999,midfielder,1374.0
2606,Deportivo Alavés,Nicola Berti,31.0,Central Midfield,Spurs,£180Th.,in,Winter,0.18,Primera Division,1998,1998/1999,midfielder,1375.0
2607,FC Barcelona,Ronald de Boer,28.0,Right Winger,Ajax,£6.75m,in,Winter,6.75,Primera Division,1998,1998/1999,attacker,11023.0
2608,FC Barcelona,Frank de Boer,28.0,Centre-Back,Ajax,£6.75m,in,Winter,6.75,Primera Division,1998,1998/1999,defender,1376.0
2609,Real Zaragoza,Vladislav Radimov,23.0,Central Midfield,Dynamo Moscow,Loan fee:£315Th.,out,Winter,0.315,Primera Division,1998,1998/1999,midfielder,11399.0
2610,Real Betis Balompié,Celso Ayala,28.0,Centre-Back,River Plate,£3.60m,in,Winter,3.6,Primera Division,1998,1998/1999,defender,1377.0
2611,Real Betis Balompié,Iulian Filipescu,24.0,Centre-Back,Galatasaray,£3.15m,in,Winter,3.15,Primera Division,1998,1998/1999,defender,1378.0
2612,Hamburger SV,Nico-Jan Hoogma,29.0,Centre-Back,Twente FC,£900Th.,in,Summer,0.9,1 Bundesliga,1998,1998/1999,defender,1379.0
2613,Hamburger SV,Vanja Grubac,27.0,Centre-Forward,OFK Beograd,£540Th.,in,Summer,0.54,1 Bundesliga,1998,1998/1999,attacker,11661.0
2614,Hamburger SV,Dimitrios Grammozis,19.0,Defensive Midfield,KFC Uerdingen,£315Th.,in,Summer,0.315,1 Bundesliga,1998,1998/1999,midfielder,11662.0
2615,Hamburger SV,Alexander Bade,27.0,Goalkeeper,KFC Uerdingen,£270Th.,in,Summer,0.27,1 Bundesliga,1998,1998/1999,goalkeeper,11186.0
2616,Hamburger SV,Martin Dahlin,30.0,Centre-Forward,Blackburn,Loan fee:£180Th.,in,Summer,0.18,1 Bundesliga,1998,1998/1999,attacker,11438.0
2618,Hamburger SV,Andreas Zeyer,30.0,Defensive Midfield,Karlsruher SC,£315Th.,out,Summer,0.315,1 Bundesliga,1998,1998/1999,midfielder,1382.0
2619,Hamburger SV,Michael Molata,25.0,Centre-Back,Karlsruher SC,£293Th.,out,Summer,0.293,1 Bundesliga,1998,1998/1999,defender,11547.0
2621,Hamburger SV,Rodolfo Cardoso,29.0,Attacking Midfield,Estudiantes,Loan fee:£158Th.,out,Summer,0.158,1 Bundesliga,1998,1998/1999,midfielder,11320.0
2622,SV Werder Bremen,Aílton,25.0,Centre-Forward,Tigres UANL,£2.48m,in,Summer,2.48,1 Bundesliga,1998,1998/1999,attacker,11663.0
2623,SV Werder Bremen,Rade Bogdanovic,28.0,Centre-Forward,Atlético Madrid,£1.22m,in,Summer,1.22,1 Bundesliga,1998,1998/1999,attacker,1384.0
2624,SV Werder Bremen,Pawel Wojtala,25.0,Centre-Back,Hamburger SV,£450Th.,in,Summer,0.45,1 Bundesliga,1998,1998/1999,defender,11434.0
2625,SV Werder Bremen,Lodewijk Roembiak,29.0,Defensive Midfield,FC Aarau,£405Th.,in,Summer,0.405,1 Bundesliga,1998,1998/1999,midfielder,1385.0
2626,SV Werder Bremen,Pascal Borel,19.0,Goalkeeper,Waldh. Mannheim,£90Th.,in,Summer,0.09,1 Bundesliga,1998,1998/1999,goalkeeper,1386.0
2629,SV Werder Bremen,Arie van Lent,27.0,Centre-Forward,Greuther Fürth,£135Th.,out,Summer,0.135,1 Bundesliga,1998,1998/1999,attacker,1387.0
2630,VfL Wolfsburg,Andrzej Juskowiak,27.0,Centre-Forward,Bor. M'gladbach,£1.13m,in,Summer,1.13,1 Bundesliga,1998,1998/1999,attacker,11422.0
2631,VfL Wolfsburg,Brian O'Neil,25.0,Centre-Back,Aberdeen FC,£594Th.,in,Summer,0.594,1 Bundesliga,1998,1998/1999,defender,11666.0
2632,VfL Wolfsburg,Charles Akonnor,24.0,Central Midfield,SC Fortuna Köln,£540Th.,in,Summer,0.54,1 Bundesliga,1998,1998/1999,midfielder,11667.0
2633,VfL Wolfsburg,Krzysztof Nowak,22.0,Central Midfield,Atlético-PR,£450Th.,in,Summer,0.45,1 Bundesliga,1998,1998/1999,midfielder,1390.0
2634,VfL Wolfsburg,Steffen Baumgart,26.0,Centre-Forward,Hansa Rostock,£450Th.,in,Summer,0.45,1 Bundesliga,1998,1998/1999,attacker,11668.0
2635,VfL Wolfsburg,Vitus Nagorny,20.0,Centre-Forward,SpVgg Landshut,£90Th.,in,Summer,0.09,1 Bundesliga,1998,1998/1999,attacker,1392.0
2637,VfL Wolfsburg,Zoran Tomcic,28.0,Centre-Back,KFC Uerdingen,£135Th.,out,Summer,0.135,1 Bundesliga,1998,1998/1999,defender,1393.0
2638,VfL Bochum,Stefan Kuntz,35.0,Centre-Forward,Arm. Bielefeld,£315Th.,in,Summer,0.315,1 Bundesliga,1998,1998/1999,attacker,11323.0
2639,VfL Bochum,Samir Toplak,28.0,Right-Back,Varteks,£225Th.,in,Summer,0.225,1 Bundesliga,1998,1998/1999,defender,1394.0
2640,VfL Bochum,Zdravko Drincic,26.0,Forward,Vojvodina,£135Th.,in,Summer,0.135,1 Bundesliga,1998,1998/1999,attacker,1395.0
2641,VfL Bochum,Maurizio Gaudino,31.0,Central Midfield,FC Basel,£113Th.,in,Summer,0.113,1 Bundesliga,1998,1998/1999,midfielder,11090.0
2643,VfL Bochum,Georgi Donkov,28.0,Centre-Forward,1. FC Köln,£900Th.,out,Summer,0.9,1 Bundesliga,1998,1998/1999,attacker,11408.0
2645,VfL Bochum,Henryk Baluszynski,25.0,Centre-Forward,Arm. Bielefeld,£180Th.,out,Summer,0.18,1 Bundesliga,1998,1998/1999,attacker,1396.0
2647,VfL Bochum,Peter Közle,30.0,Centre-Forward,Union Berlin,£113Th.,out,Summer,0.113,1 Bundesliga,1998,1998/1999,attacker,11082.0
2648,VfL Bochum,Mirko Reichel,27.0,Defensive Midfield,Greuther Fürth,£90Th.,out,Summer,0.09,1 Bundesliga,1998,1998/1999,midfielder,1397.0
2649,VfB Stuttgart,Sasa Markovic,26.0,Midfielder,Red Star,£1.44m,in,Summer,1.44,1 Bundesliga,1998,1998/1999,midfielder,1398.0
2650,VfB Stuttgart,Mitko Stojkovski,25.0,Defensive Midfield,Real Oviedo,£450Th.,in,Summer,0.45,1 Bundesliga,1998,1998/1999,midfielder,1399.0
2651,VfB Stuttgart,Jens Keller,27.0,Centre-Back,VfL Wolfsburg,£270Th.,in,Summer,0.27,1 Bundesliga,1998,1998/1999,defender,11669.0
2652,VfB Stuttgart,Murat Yakin,23.0,Centre-Back,Fenerbahce,£3.60m,out,Summer,3.6,1 Bundesliga,1998,1998/1999,defender,11553.0
2654,VfB Stuttgart,Marco Grimm,26.0,Centre-Back,Grazer AK,£135Th.,out,Summer,0.135,1 Bundesliga,1998,1998/1999,defender,11316.0
2655,TSV 1860 Munich,Michél Dinzey,25.0,Left Midfield,Hertha BSC,£900Th.,in,Summer,0.9,1 Bundesliga,1998,1998/1999,midfielder,11286.0
2656,TSV 1860 Munich,Roman Tyce,21.0,Defensive Midfield,Slovan Liberec,£540Th.,in,Summer,0.54,1 Bundesliga,1998,1998/1999,midfielder,1401.0
2658,TSV 1860 Munich,Abédi Pelé,33.0,Attacking Midfield,Al-Ain FC,£405Th.,out,Summer,0.405,1 Bundesliga,1998,1998/1999,midfielder,1402.0
2659,TSV 1860 Munich,Marco Walker,28.0,Centre-Back,TeBe Berlin,£383Th.,out,Summer,0.38299999999999995,1 Bundesliga,1998,1998/1999,defender,11413.0
2660,TSV 1860 Munich,Besnik Hasi,26.0,Defensive Midfield,KRC Genk,£383Th.,out,Summer,0.38299999999999995,1 Bundesliga,1998,1998/1999,midfielder,11554.0
2661,TSV 1860 Munich,André Hofschneider,28.0,Defensive Midfield,Arm. Bielefeld,£315Th.,out,Summer,0.315,1 Bundesliga,1998,1998/1999,midfielder,1403.0
2662,TSV 1860 Munich,Jörg Böhme,24.0,Left Midfield,Arm. Bielefeld,£270Th.,out,Summer,0.27,1 Bundesliga,1998,1998/1999,midfielder,11298.0
2663,SC Freiburg,Richard Golz,30.0,Goalkeeper,Hamburger SV,£221Th.,in,Summer,0.221,1 Bundesliga,1998,1998/1999,goalkeeper,1404.0
2664,SC Freiburg,Levan Tskitishvili,21.0,Left Midfield,Dinamo Tbilisi,£113Th.,in,Summer,0.113,1 Bundesliga,1998,1998/1999,midfielder,11670.0
2665,SC Freiburg,Levan Kobiashvili,20.0,Left Midfield,Dinamo Tbilisi,£113Th.,in,Summer,0.113,1 Bundesliga,1998,1998/1999,midfielder,1406.0
2666,SC Freiburg,Thomas Radlspeck,25.0,Centre-Forward,Unterhaching,£90Th.,in,Summer,0.09,1 Bundesliga,1998,1998/1999,attacker,11671.0
2667,SC Freiburg,Mike Rietpietsch,24.0,Right Midfield,F. Düsseldorf,£45Th.,in,Summer,0.045,1 Bundesliga,1998,1998/1999,midfielder,11216.0
2668,SC Freiburg,Stefan Hampl,23.0,Right Winger,SC 04 Schwabach,£18Th.,in,Summer,0.018000000000000002,1 Bundesliga,1998,1998/1999,attacker,11672.0
2669,SC Freiburg,Thomas Herz,22.0,Left Midfield,Waldh. Mannheim,£18Th.,out,Summer,0.018000000000000002,1 Bundesliga,1998,1998/1999,midfielder,1409.0
2670,MSV Duisburg,Erik Bo Andersen,27.0,Centre-Forward,Odense BK,£900Th.,in,Summer,0.9,1 Bundesliga,1998,1998/1999,attacker,1410.0
2671,MSV Duisburg,Marcus Wedau,22.0,Attacking Midfield,KFC Uerdingen,£450Th.,in,Summer,0.45,1 Bundesliga,1998,1998/1999,midfielder,1411.0
2673,MSV Duisburg,Lubomir Moravcik,33.0,Attacking Midfield,Celtic,£315Th.,out,Summer,0.315,1 Bundesliga,1998,1998/1999,midfielder,11673.0
2674,Hertha BSC,Dariusz Wosz,29.0,Attacking Midfield,VfL Bochum,£2.34m,in,Summer,2.34,1 Bundesliga,1998,1998/1999,midfielder,11674.0
2675,Hertha BSC,René Tretschok,29.0,Defensive Midfield,1. FC Köln,£900Th.,in,Summer,0.9,1 Bundesliga,1998,1998/1999,midfielder,11095.0
2676,Hertha BSC,Ivica Olic,19.0,Centre-Forward,NK Marsonia,£225Th.,in,Summer,0.225,1 Bundesliga,1998,1998/1999,attacker,11675.0
2678,Hertha BSC,Christian Fährmann,22.0,Attacking Midfield,Karlsruher SC,£270Th.,out,Summer,0.27,1 Bundesliga,1998,1998/1999,midfielder,1415.0
2679,1.FC Kaiserslautern,Hany Ramzy,29.0,Centre-Back,Werder Bremen,£1.04m,in,Summer,1.04,1 Bundesliga,1998,1998/1999,defender,11188.0
2680,1.FC Kaiserslautern,Samir Kamouna,26.0,Sweeper,El Ahly,£540Th.,in,Summer,0.54,1 Bundesliga,1998,1998/1999,defender,1416.0
2681,1.FC Kaiserslautern,Uwe Gospodarek,24.0,Goalkeeper,VfL Bochum,£158Th.,in,Summer,0.158,1 Bundesliga,1998,1998/1999,goalkeeper,1417.0
2683,FC Schalke 04,Hami Mandirali,29.0,Centre-Forward,Trabzonspor,£3.15m,in,Summer,3.15,1 Bundesliga,1998,1998/1999,attacker,11676.0
2684,FC Schalke 04,Nico Van Kerckhoven,27.0,Left-Back,Lierse SK,£1.58m,in,Summer,1.58,1 Bundesliga,1998,1998/1999,defender,1419.0
2685,FC Schalke 04,Oliver Reck,33.0,Goalkeeper,Werder Bremen,£630Th.,in,Summer,0.63,1 Bundesliga,1998,1998/1999,goalkeeper,1420.0
2686,FC Schalke 04,Frode Grodas,33.0,Goalkeeper,Spurs,£135Th.,in,Summer,0.135,1 Bundesliga,1998,1998/1999,goalkeeper,11523.0
2688,FC Schalke 04,Markus Anfang,24.0,Central Midfield,FC Tirol,£90Th.,out,Summer,0.09,1 Bundesliga,1998,1998/1999,midfielder,1421.0
2689,FC Hansa Rostock,Zoran Milinkovic,29.0,Midfielder,OGC Nice,£360Th.,in,Summer,0.36,1 Bundesliga,1998,1998/1999,midfielder,1422.0
2690,FC Hansa Rostock,Peter Wibran,29.0,Defensive Midfield,Helsingborg,£270Th.,in,Summer,0.27,1 Bundesliga,1998,1998/1999,midfielder,1423.0
2691,FC Hansa Rostock,Victor Agali,19.0,Centre-Forward,Sp. Toulon Var,£230Th.,in,Summer,0.23,1 Bundesliga,1998,1998/1999,attacker,11445.0
2692,FC Hansa Rostock,Aleksandar Jovic,26.0,Centre-Forward,Cukaricki,£158Th.,in,Summer,0.158,1 Bundesliga,1998,1998/1999,attacker,1424.0
2693,FC Hansa Rostock,Miroslav Bicanic,28.0,Midfielder,Hapoel Haifa,£68Th.,in,Summer,0.068,1 Bundesliga,1998,1998/1999,midfielder,11414.0
2696,Bayern Munich,Stefan Effenberg,29.0,Central Midfield,Bor. M'gladbach,£3.83m,in,Summer,3.83,1 Bundesliga,1998,1998/1999,midfielder,11009.0
2697,Bayern Munich,Ali Daei,29.0,Centre-Forward,Arm. Bielefeld,£2.30m,in,Summer,2.3,1 Bundesliga,1998,1998/1999,attacker,11677.0
2698,Bayern Munich,Jens Jeremies,24.0,Defensive Midfield,1860 Munich,£720Th.,in,Summer,0.72,1 Bundesliga,1998,1998/1999,midfielder,11289.0
2700,Bayern Munich,Markus Münch,25.0,Left-Back,Genoa,£783Th.,out,Summer,0.7829999999999999,1 Bundesliga,1998,1998/1999,defender,11214.0
2702,Eintracht Frankfurt,Frank Gerster,22.0,Central Midfield,Bayern Munich,£72Th.,in,Summer,0.07200000000000001,1 Bundesliga,1998,1998/1999,midfielder,1426.0
2703,Borussia Mönchengladbach,Markus Feldhoff,23.0,Centre-Forward,Bay. Leverkusen,£1.26m,in,Summer,1.26,1 Bundesliga,1998,1998/1999,attacker,11303.0
2704,Borussia Mönchengladbach,Toni Polster,34.0,Centre-Forward,1. FC Köln,£900Th.,in,Summer,0.9,1 Bundesliga,1998,1998/1999,attacker,1427.0
2705,Borussia Mönchengladbach,Matthias Hagner,23.0,Right Midfield,VfB Stuttgart,£675Th.,in,Summer,0.675,1 Bundesliga,1998,1998/1999,midfielder,11411.0
2706,Borussia Mönchengladbach,Vladimir Ivanov,25.0,Right-Back,Levski Sofia,£450Th.,in,Summer,0.45,1 Bundesliga,1998,1998/1999,defender,1428.0
2707,Borussia Mönchengladbach,Sladjan Asanin,26.0,Centre-Back,Slavia Prague,£225Th.,in,Summer,0.225,1 Bundesliga,1998,1998/1999,defender,1429.0
2710,Borussia Mönchengladbach,Ioan Lupescu,29.0,Central Midfield,Dinamo Bucarest,£180Th.,out,Summer,0.18,1 Bundesliga,1998,1998/1999,midfielder,11423.0
2711,Borussia Dortmund,Bachirou Salou,27.0,Centre-Forward,MSV Duisburg,£3.78m,in,Summer,3.78,1 Bundesliga,1998,1998/1999,attacker,11300.0
2712,Borussia Dortmund,Dedê,20.0,Left-Back,Atlético-MG,£2.97m,in,Summer,2.97,1 Bundesliga,1998,1998/1999,defender,1430.0
2713,Borussia Dortmund,Sergej Barbarez,26.0,Second Striker,Hansa Rostock,£990Th.,in,Summer,0.99,1 Bundesliga,1998,1998/1999,attacker,11420.0
2714,Borussia Dortmund,Karsten Baumann,28.0,Centre-Back,1. FC Köln,£900Th.,in,Summer,0.9,1 Bundesliga,1998,1998/1999,defender,1431.0
2715,Borussia Dortmund,Alfred Nijhuis,32.0,Centre-Back,Urawa Reds,£450Th.,in,Summer,0.45,1 Bundesliga,1998,1998/1999,defender,11556.0
2717,Borussia Dortmund,Júlio César,35.0,Centre-Back,Botafogo,Loan fee:£225Th.,out,Summer,0.225,1 Bundesliga,1998,1998/1999,defender,11208.0
2718,Borussia Dortmund,Jovan Kirovski,22.0,Right Winger,SC Fortuna Köln,Loan fee:£45Th.,out,Summer,0.045,1 Bundesliga,1998,1998/1999,attacker,11678.0
2719,Bayer 04 Leverkusen,Zé Roberto,23.0,Left Midfield,Real Madrid,£6.30m,in,Summer,6.3,1 Bundesliga,1998,1998/1999,midfielder,11405.0
2720,Bayer 04 Leverkusen,Adam Matysek,29.0,Goalkeeper,FC Gütersloh,£900Th.,in,Summer,0.9,1 Bundesliga,1998,1998/1999,goalkeeper,1433.0
2721,Bayer 04 Leverkusen,Zoran Mamic,26.0,Centre-Back,VfL Bochum,£720Th.,in,Summer,0.72,1 Bundesliga,1998,1998/1999,defender,11409.0
2723,Bayer 04 Leverkusen,Thorsten Nehrbauer,20.0,Defensive Midfield,F. Düsseldorf,£90Th.,out,Summer,0.09,1 Bundesliga,1998,1998/1999,midfielder,1434.0
2724,1.FC Nuremberg,Pavel Kuka,29.0,Centre-Forward,1.FC K'lautern,£1.58m,in,Summer,1.58,1 Bundesliga,1998,1998/1999,attacker,11679.0
2725,1.FC Nuremberg,Andriy Polunin,27.0,Central Midfield,Karpaty,£450Th.,in,Summer,0.45,1 Bundesliga,1998,1998/1999,midfielder,1436.0
2726,1.FC Nuremberg,Stephan Täuber,31.0,Centre-Back,Unterhaching,£383Th.,in,Summer,0.38299999999999995,1 Bundesliga,1998,1998/1999,defender,1437.0
2727,1.FC Nuremberg,Darius Kampa,21.0,Goalkeeper,FC Augsburg,£270Th.,in,Summer,0.27,1 Bundesliga,1998,1998/1999,goalkeeper,1438.0
2728,1.FC Nuremberg,Jochen Weigl,27.0,Right Midfield,Greuther Fürth,£225Th.,in,Summer,0.225,1 Bundesliga,1998,1998/1999,midfielder,1439.0
2729,1.FC Nuremberg,Heiko Gerber,25.0,Left-Back,Arm. Bielefeld,Loan fee:£135Th.,in,Summer,0.135,1 Bundesliga,1998,1998/1999,defender,11431.0
2730,1.FC Nuremberg,Daniel Smejkal,27.0,Attacking Midfield,KFC Uerdingen,£113Th.,out,Summer,0.113,1 Bundesliga,1998,1998/1999,midfielder,1440.0
2731,Hamburger SV,Martin Dahlin,30.0,Centre-Forward,Blackburn,Loan fee:£180Th.,in,Winter,0.18,1 Bundesliga,1998,1998/1999,attacker,11438.0
2733,SV Werder Bremen,Aílton,25.0,Centre-Forward,Tigres UANL,£2.48m,in,Winter,2.48,1 Bundesliga,1998,1998/1999,attacker,11663.0
2734,SV Werder Bremen,Dirk Flock,26.0,Right Midfield,FC Gütersloh,£450Th.,in,Winter,0.45,1 Bundesliga,1998,1998/1999,midfielder,11184.0
2735,SV Werder Bremen,Dirk Weetendorf,26.0,Centre-Forward,Hamburger SV,£360Th.,in,Winter,0.36,1 Bundesliga,1998,1998/1999,attacker,11680.0
2736,SV Werder Bremen,Havard Flo,28.0,Centre-Forward,Wolves,£900Th.,out,Winter,0.9,1 Bundesliga,1998,1998/1999,attacker,1442.0
2737,TSV 1860 Munich,Martin Cizek,24.0,Left Midfield,Sparta Praha,£549Th.,in,Winter,0.5489999999999999,1 Bundesliga,1998,1998/1999,midfielder,11681.0
2739,SC Freiburg,Thomas Radlspeck,26.0,Centre-Forward,Grazer AK,£90Th.,out,Winter,0.09,1 Bundesliga,1998,1998/1999,attacker,11671.0
2740,MSV Duisburg,Alexander Bugera,20.0,Left-Back,Bayern Munich,Loan fee:£113Th.,in,Winter,0.113,1 Bundesliga,1998,1998/1999,defender,11682.0
2741,MSV Duisburg,Lubomir Moravcik,33.0,Attacking Midfield,Celtic,£315Th.,out,Winter,0.315,1 Bundesliga,1998,1998/1999,midfielder,11673.0
2742,Hertha BSC,Piotr Reiss,26.0,Centre-Forward,Lech Poznan,£855Th.,in,Winter,0.855,1 Bundesliga,1998,1998/1999,attacker,11683.0
2743,Hertha BSC,Ilija Aracic,28.0,Centre-Forward,TeBe Berlin,£428Th.,in,Winter,0.428,1 Bundesliga,1998,1998/1999,attacker,11684.0
2744,Hertha BSC,Ivica Olic,19.0,Centre-Forward,NK Marsonia,£225Th.,in,Winter,0.225,1 Bundesliga,1998,1998/1999,attacker,11675.0
2745,Hertha BSC,Christian Saba,20.0,Centre-Back,FC Bayern II,Loan fee:£90Th.,in,Winter,0.09,1 Bundesliga,1998,1998/1999,defender,1447.0
2746,Hertha BSC,Marc Arnold,28.0,Attacking Midfield,Karlsruher SC,£158Th.,out,Winter,0.158,1 Bundesliga,1998,1998/1999,midfielder,1448.0
2747,Hertha BSC,Steffen Karl,28.0,Defensive Midfield,FC St. Pauli,£113Th.,out,Winter,0.113,1 Bundesliga,1998,1998/1999,midfielder,1449.0
2748,FC Hansa Rostock,Mohamed Emara,24.0,Left-Back,El Ahly,£450Th.,in,Winter,0.45,1 Bundesliga,1998,1998/1999,defender,1450.0
2749,FC Hansa Rostock,Igor Pamic,29.0,Centre-Forward,Grazer AK,£675Th.,out,Winter,0.675,1 Bundesliga,1998,1998/1999,attacker,1451.0
2751,Eintracht Frankfurt,Jan Aage Fjörtoft,31.0,Centre-Forward,Barnsley FC,£675Th.,in,Winter,0.675,1 Bundesliga,1998,1998/1999,attacker,11047.0
2752,Eintracht Frankfurt,Mourad Bounoua,26.0,Attacking Midfield,Stuttg. Kickers,£135Th.,in,Winter,0.135,1 Bundesliga,1998,1998/1999,midfielder,1452.0
2753,Borussia Dortmund,Jens Lehmann,29.0,Goalkeeper,Milan,£3.60m,in,Winter,3.6,1 Bundesliga,1998,1998/1999,goalkeeper,11685.0
2754,Borussia Dortmund,Miroslav Stevic,28.0,Defensive Midfield,1860 Munich,£720Th.,in,Winter,0.72,1 Bundesliga,1998,1998/1999,midfielder,11195.0
2756,Borussia Dortmund,Stefan Klos,27.0,Goalkeeper,Rangers,£923Th.,out,Winter,0.9229999999999999,1 Bundesliga,1998,1998/1999,goalkeeper,1454.0
2757,FC Girondins Bordeaux,Hervé Alicarte,23.0,Sweeper,Montpellier,£2.97m,in,Summer,2.97,Ligue 1,1998,1998/1999,defender,1455.0
2758,Olympique Lyon,Vikash Dhorasoo,24.0,Central Midfield,AC Le Havre,£6.75m,in,Summer,6.75,Ligue 1,1998,1998/1999,midfielder,11687.0
2761,RC Lens,Stéphane Dalmat,19.0,Central Midfield,LB Châteauroux,£3.42m,in,Summer,3.42,Ligue 1,1998,1998/1999,midfielder,11688.0
2762,RC Lens,Daniel Moreira,20.0,Second Striker,Guingamp,£3.42m,in,Summer,3.42,Ligue 1,1998,1998/1999,attacker,11689.0
2763,RC Lens,Pascal Nouma,26.0,Centre-Forward,R. Strasbourg,£3.15m,in,Summer,3.15,Ligue 1,1998,1998/1999,attacker,11442.0
2768,SC Bastia,Patrick Valéry,28.0,Right-Back,Blackburn,£108Th.,in,Summer,0.10800000000000001,Ligue 1,1998,1998/1999,defender,1459.0
2770,Paris Saint-Germain,Jay-Jay Okocha,24.0,Attacking Midfield,Fenerbahce,£11.16m,in,Summer,11.16,Ligue 1,1998,1998/1999,midfielder,1460.0
2771,Paris Saint-Germain,Nicolas Ouédec,26.0,Centre-Forward,Espanyol,£5.40m,in,Summer,5.4,Ligue 1,1998,1998/1999,attacker,11393.0
2772,Paris Saint-Germain,Adaílton,21.0,Second Striker,AC Parma,£1.80m,in,Summer,1.8,Ligue 1,1998,1998/1999,attacker,11590.0
2773,Paris Saint-Germain,Laurent Leroy,22.0,Centre-Forward,Cannes,£1.08m,in,Summer,1.08,Ligue 1,1998,1998/1999,attacker,1461.0
2779,FC Metz,Stéphane Leoni,22.0,Left-Back,Bristol Rovers,£360Th.,out,Summer,0.36,Ligue 1,1998,1998/1999,defender,1462.0
2782,Stade Rennais FC,Shabani Nonda,21.0,Centre-Forward,FC Zürich,£5.40m,in,Summer,5.4,Ligue 1,1998,1998/1999,attacker,11690.0
2785,Olympique Marseille,Florian Maurice,24.0,Centre-Forward,Paris SG,£5.40m,in,Summer,5.4,Ligue 1,1998,1998/1999,attacker,11567.0
2786,AS Monaco,Sabri Lamouchi,26.0,Central Midfield,AJ Auxerre,£1.35m,in,Summer,1.35,Ligue 1,1998,1998/1999,midfielder,11691.0
2790,RC Lens,Valérien Ismaël,23.0,Centre-Back,Crystal Palace,£1.62m,in,Winter,1.62,Ligue 1,1998,1998/1999,defender,11512.0
2792,RC Strasbourg Alsace,François Keller,25.0,Midfielder,Fulham,£40Th.,out,Winter,0.04,Ligue 1,1998,1998/1999,midfielder,1465.0
2793,SC Bastia,Mariusz Piekarski,23.0,Attacking Midfield,Mogi Mirim,£1.80m,in,Winter,1.8,Ligue 1,1998,1998/1999,midfielder,1466.0
2795,Milan AC,Oliver Bierhoff,30.0,Centre-Forward,Udinese,£11.25m,in,Summer,11.25,Serie A,1998,1998/1999,attacker,11336.0
2796,Milan AC,Thomas Helveg,27.0,Right-Back,Udinese,£7.65m,in,Summer,7.65,Serie A,1998,1998/1999,defender,11692.0
2797,Milan AC,Roberto Ayala,25.0,Centre-Back,SSC Napoli,£6.75m,in,Summer,6.75,Serie A,1998,1998/1999,defender,11331.0
2798,Milan AC,Jens Lehmann,28.0,Goalkeeper,FC Schalke 04,£3.87m,in,Summer,3.87,Serie A,1998,1998/1999,goalkeeper,11686.0
2799,Milan AC,Bruno N'Gotty,27.0,Centre-Back,Paris SG,£2.70m,in,Summer,2.7,Serie A,1998,1998/1999,defender,11693.0
2800,Milan AC,Christian Abbiati,20.0,Goalkeeper,Calcio Monza,£1.51m,in,Summer,1.51,Serie A,1998,1998/1999,goalkeeper,11694.0
2801,Milan AC,Luigi Sala,24.0,Centre-Back,Bari,£900Th.,in,Summer,0.9,Serie A,1998,1998/1999,defender,11695.0
2804,Milan AC,Massimo Oddo,22.0,Right-Back,Calcio Monza,Loan fee:£225Th.,out,Summer,0.225,Serie A,1998,1998/1999,defender,11334.0
2805,Milan AC,Steinar Nilsen,26.0,Centre-Back,SSC Napoli,£180Th.,out,Summer,0.18,Serie A,1998,1998/1999,defender,11584.0
2806,Cagliari Calcio,Patrick M'Boma,27.0,Centre-Forward,Gamba Osaka,£4.05m,in,Summer,4.05,Serie A,1998,1998/1999,attacker,11696.0
2807,UC Sampdoria,Alessandro Grandoni,20.0,Centre-Back,Lazio,£4.50m,in,Summer,4.5,Serie A,1998,1998/1999,defender,11697.0
2808,UC Sampdoria,Ariel Ortega,24.0,Attacking Midfield,Valencia,£2.34m,in,Summer,2.34,Serie A,1998,1998/1999,midfielder,11404.0
2811,UC Sampdoria,Ángel Morales,23.0,Attacking Midfield,Racing Club,£2.70m,out,Summer,2.7,Serie A,1998,1998/1999,midfielder,11579.0
2812,Bologna FC 1909,Luciano,22.0,Right Midfield,Palmeiras,£2.32m,in,Summer,2.32,Serie A,1998,1998/1999,midfielder,11698.0
2813,Bologna FC 1909,Igor Shalimov,29.0,Attacking Midfield,SSC Napoli,£2.61m,out,Summer,2.61,Serie A,1998,1998/1999,midfielder,11015.0
2815,AC Perugia,Hidetoshi Nakata,21.0,Attacking Midfield,Bellm. Hiratsuka,£3.15m,in,Summer,3.15,Serie A,1998,1998/1999,midfielder,11701.0
2817,Juventus FC,Jocelyn Blanchard,26.0,Defensive Midfield,FC Metz,£5.85m,in,Summer,5.85,Serie A,1998,1998/1999,midfielder,1475.0
2818,Juventus FC,Salvatore Aronica,20.0,Centre-Back,FC Crotone,Loan fee:£82Th.,out,Summer,0.08199999999999999,Serie A,1998,1998/1999,defender,11702.0
2819,AC Fiorentina,Jörg Heinrich,28.0,Left-Back,Bor. Dortmund,£11.34m,in,Summer,11.34,Serie A,1998,1998/1999,defender,11197.0
2821,AC Fiorentina,Andrey Kanchelskis,29.0,Right Midfield,Rangers,£4.95m,out,Summer,4.95,Serie A,1998,1998/1999,midfielder,11269.0
